objname,objtype,de2000,al2000,v,e_v,vopt,e_vopt,vrad,e_vrad,bt,e_bt,type,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,incl,logdc,btc,itc,ubtc,bvtc,m21c,hic,mabs,agnclass,kt,e_kt,it,e_it,ut,vt,mfir,e_ut,e_vt
PGC720745,G ,-30.1542764,13.3716443,2489,10,2489,10,,,17.25,0.5,S?,,,,,3,5,0.65,0.078,0.19,0.028,12,52.21,0.671,16.645,,,,,,-16.089,,,,,,,,,,
PGC720820,G ,-30.1483018,12.1428842,2132.4,42.8,2132.4,42.8,,,16.08,0.5,E,,,,,-5,3.5,0.804,0.063,0.23,0.027,134.14,90,0.839,15.775,14.195,,,,,-16.566,,12.655,0.19,14.316,0.103,,,,,
PGC721308,G ,-30.1088661,13.04042,3214.1,39.2,3214.1,39.2,,,16.97,0.5,S?,,,,,5,5,0.84,0.06,0.56,0.028,25,78.97,0.848,15.703,15.247,,,,,-17.6,,,,15.39,0.077,,,,,
PGC722090,G ,-30.0461599,12.0892644,2015.8,39.2,2015.8,39.2,,,16.5,0.5,Sbc,,,,,4,3.7,0.86,0.058,0.47,0.028,71.5,75.08,0.87,15.451,14.331,,,,,-16.757,,13.041,0.136,14.465,0.075,,,,,
PGC722221,G ,-30.0359823,13.3372279,1663.7,38.6,1663.7,38.6,,,16.39,0.5,E?,,,,,-2,5,0.99,0.049,0.44,0.028,29,90,1.006,16.065,,,,,,-15.798,,,,,,,,,,
PGC723997,G ,-29.8873736,12.9561344,3109.7,15.9,3109.7,15.9,,,17.27,0.5,S?,,,,,7,5,0.66,0.077,0.39,0.028,91,67.65,0.679,16.191,16.673,,,,,-17.026,,,,16.835,0.072,,,,,
PGC727168,G ,-29.6197531,11.5421459,1575.7,39.2,1575.7,39.2,,,16.9,0.5,E?,,,,,-5,5,0.665,0.064,0.24,0.092,27,90,0.701,16.592,15.717,,,,,-15.047,,13.936,0.54,15.842,0.296,,,,,
PGC727305,G ,-29.6084722,12.9938861,3096.3,45,3096.3,45,,,18.21,0.5,,,,,,,,0.53,0.092,0.14,0.028,40,44.48,,17.781,16.105,,,,,-15.436,,,,16.28,0.269,,,,,
PGC729818,G ,-29.3984784,13.9579767,2674,60,2674,60,,,16.84,0.5,E?,,,,,-5,5,0.64,0.079,0.14,0.028,142,70.89,0.677,16.537,15.384,,,,,-16.37,,12.465,0.378,15.5,0.077,,,,,
PGC731537,G ,-29.251201,14.3528889,1262.1,39.2,1262.1,39.2,,,16.09,0.5,S?,,,,,9,5,0.86,0.064,0.29,0.027,114.67,70.82,0.878,15.24,14.287,,,,,-16.012,,13.538,0.357,14.425,0.101,,,,,
PGC733044,G ,-29.1241667,13.0057222,3062.5,15.8,3140.6,45,3057.6,11.3,16.33,0.5,Sbc,,,,,4,3.7,0.87,0.058,0.32,0.028,13,64.39,0.892,15.432,14.972,,,15.914,0.482,-17.756,,,,15.135,0.084,,,,,
PGC734536,G ,-29.0143557,13.5155578,2173,10,2173,10,,,17.59,0.5,S?,,,,,3,5,0.52,0.094,0.32,0.028,139,65.33,0.532,16.856,16.401,,,,,-15.611,,,,16.515,0.09,,,,,
PGC736219,G ,-28.8849688,14.750443,2834.8,39.2,2834.8,39.2,,,16.47,0.5,S?,,,,,5,5,0.89,0.056,0.48,0.028,157.5,74.45,0.924,15.087,14.34,,,,,-17.981,,13.285,0.447,14.59,0.077,,,,,
PGC736222,G ,-28.8855866,15.6248261,2734.1,39.2,2734.1,39.2,,,16.48,0.5,Sd,,,,,8,2,0.76,0.067,0.45,0.028,42,90,0.861,14.39,14.079,,,,,-18.614,,,,14.635,0.084,,,,,
PGC738495,G ,-28.7023154,9.6461255,2473.3,42.8,2473.3,42.8,,,16.02,0.5,S0-a,,,,,-1,2,0.81,0.062,0.31,0.028,74.5,73.86,0.843,15.517,13.72,,,,,-17.106,,12.115,0.085,13.925,0.075,,,,,
PGC738908,G ,-28.6708358,12.0629859,1907.3,63.5,1907.3,63.5,,,16.96,0.5,Sbc,,,,,4,3.7,0.65,0.078,0.14,0.028,123,45.07,0.67,16.447,,,,,,-15.668,,,,,,,,,,
PGC740471,G ,-28.5384385,7.0417887,2520.8,64.7,2520.8,64.7,,,16.26,0.5,,,,,,,,0.77,0.066,0.21,0.028,163,53.14,,15.71,14.364,,,,,-16.875,,12.958,0.19,14.595,0.079,,,,,
PGC741002,G ,-28.4951667,13.0123389,2613,125,2613,125,,,16.71,0.5,E?,,,,,-5,5,0.54,0.091,0.12,0.028,86,63.27,0.592,16.32,,,,,,-16.52,,13.636,0.121,,,,,,,
PGC742559,G ,-28.3661295,10.6089959,3280,39.2,3280,39.2,,,16.69,0.5,S?,,,,,5,5,0.71,0.072,0.39,0.028,32,68.82,0.718,15.763,14.753,,,,,-17.539,,12.931,0.115,14.865,0.079,,,,,
PGC742710,G ,-28.3533066,13.0155967,2452.3,39.2,2452.3,39.2,,,16.59,0.5,E?,,,,,-2,5,0.71,0.072,0.04,0.028,,27.77,0.747,16.209,,,,,,-16.489,,13.471,0.15,,,,,,,
PGC742978,G ,-28.3329758,13.0983399,2266,35,2266,35,,,17.17,0.5,S?,,,,,9,5,0.49,0.098,0.06,0.028,57,32.72,0.518,16.731,16.702,,,,,-15.815,,,,16.845,0.089,,,,,
PGC743309,G ,-28.3044036,13.4730781,2053,6.3,2053,20,2053,10,16.94,0.5,I,,,,,10,2,0.6,0.083,0.22,0.028,122,61.4,0.613,16.295,,,,,,-16.046,,,,,,,,,,
PGC743904,G ,-28.2578889,10.6323472,3151,80,3151,80,,,17.48,0.5,,,,,,,,0.6,0.083,0.2,0.028,48,52.05,,17.192,16.207,,,,,-15.996,,,,16.32,0.081,,,,,
PGC744203,G ,-28.2334444,10.6225472,3096,80,3096,80,,,17.57,0.5,,,,,,,,0.68,0.075,0.62,0.028,146,80.64,,17.267,17.636,,,,,-15.891,,13.06,0.31,17.755,0.075,,,,,
PGC745487,G ,-28.1282652,12.8847269,3042,15,3042,15,,,17.19,0.5,,,,,,,,0.59,0.085,0.21,0.028,145,53.14,,16.882,15.778,,,,,-16.306,,,,15.9,0.081,,,,,
PGC746046,G ,-28.0843333,10.578925,2645,80,2645,80,,,17.91,0.5,,,,,,,,0.55,0.09,0.32,0.028,172,63.17,,17.586,,,,,,-15.219,,,,,,,,,,
PGC746222,G ,-28.0703889,10.6697222,3183,110,3183,110,,,17.08,0.5,,,,,,,,0.65,0.078,0.21,0.028,154,53.14,,16.811,15.701,,,,,-16.406,,,,15.805,0.084,,,,,
PGC747791,G ,-27.9422733,6.8511418,2423.5,39.2,2423.5,39.2,,,17.27,0.5,,,,,,,,0.601,0.08,0.244,0.034,90.67,56.56,,16.705,14.781,,,,,-15.802,,12.779,0.103,15.019,0.071,,,,,
PGC747838,G ,-27.9371389,10.6366306,2873,80,2873,80,,,17.83,0.5,S?,,,,,5,5,0.49,0.098,0.26,0.028,45,58.54,0.507,17.083,,,,,,-15.922,,,,,,,,,,
PGC748738,G ,-27.8703553,10.1737329,2467,63.5,2467,63.5,,,16.75,0.5,S?,,,,,10,5,0.82,0.062,0.27,0.028,38,68.13,0.831,16.015,15.248,,,,,-16.608,,,,15.35,0.077,,,,,
PGC748748,G ,-27.869746,12.703689,2182.1,31.8,2182.1,31.8,,,16.88,0.5,S?,,,,,10,5,0.62,0.081,0.25,0.028,27,65.47,0.642,16.074,16.09,,,,,-16.352,,,,16.24,0.077,,,,,
PGC749134,G ,-27.8405,10.6134889,3025,80,3025,80,,,18.71,0.5,,,,,,,,0.5,0.096,0.33,0.028,51,63.94,,18.359,,,,,,-14.74,,,,,,,,,,
PGC214313,G ,-0.7441713,14.6656237,1760,46.5,1760,46.5,,,16.859,0.457,I,,,,,10,2,0.745,0.084,0.4,0.028,83.16,90,0.745,15.941,16.243,,,,,-16.267,,17.964,0.102,16.32,0.326,17.777,,,0.031,
PGC751956,G ,-27.6430662,11.5486642,1756.8,39.2,1756.8,39.2,,,15.86,0.5,S?,,,,,7.5,4.3,0.955,0.102,0.33,0.036,38,76.5,0.973,14.93,14.561,,,,,-16.986,,,,14.705,0.117,,,,,
PGC751988,G ,-27.6401667,10.5822361,3021.2,4.9,3057,80,3021,6.4,18.12,0.5,S?,,,,,10,5,0.48,0.099,0.13,0.028,121,47.59,0.506,17.542,,,,17.499,-0.044,-15.556,,,,,,,,,,
PGC753342,G ,-27.5455556,10.6229806,2763,80,2763,80,,,17.62,0.5,I,,,,,10,3.5,0.57,0.087,0.37,0.028,35,84.29,0.587,16.596,,,,,,-16.311,,,,,,,,,,
PGC753930,G ,-27.5069444,10.5611944,3286,116,3286,116,,,18.24,0.5,,,,,,,,0.49,0.098,0.18,0.028,20,49.72,,17.871,16.487,,,,,-15.431,,,,16.635,0.075,,,,,
PGC754937,G ,-27.4364814,12.0326632,2107.8,63.5,2107.8,63.5,,,16.61,0.5,I,,,,,10,3.5,0.89,0.056,0.49,0.028,20,90,0.904,15.347,15.754,,,,,-16.994,,13.545,0.213,15.91,0.073,,,,,
PGC756264,G ,-27.3526111,10.5754194,2864,80,2864,80,,,16.46,0.5,S?,,,,,5,5,0.92,0.054,0.59,0.028,163,80.65,0.927,15.145,14.87,,,,,-17.828,,,,15.015,0.096,,,,,
PGC756457,G ,-27.3384323,9.8561776,2658.6,39.2,2658.6,39.2,,,16.4,0.5,,,,,,,,0.75,0.068,0.51,0.028,27.5,75.15,,16.004,14.667,,,,,-16.801,,12.867,0.106,14.83,0.081,,,,,
PGC759657,G ,-27.1123056,10.6496417,3178,80,3178,80,,,17,0.5,,,,,,,,0.56,0.088,0.03,0.028,,21.41,,16.669,15.123,,,,,-16.549,,,,15.255,0.084,,,,,
PGC759711,G ,-27.1083339,10.632605,2701,80,2701,80,,,18.8,0.5,,,,,,,,0.46,0.102,0.32,0.028,60,63.17,,18.464,,,,,,-14.376,,,,,,,,,,
PGC761243,G ,-26.9908971,10.6418171,2736,35,2736,35,,,17.75,0.5,,,,,,,,0.7,0.073,0.24,0.028,3,56.22,,17.427,14.45,,,,,-15.447,,,,14.58,0.107,,,,,
PGC761496,G ,-26.9719444,10.5947306,2599,4.5,2598,80,2599,6.4,17.28,0.5,S?,,,,,9,5,0.81,0.062,0.19,0.028,10,57.15,0.831,16.617,15.51,,,17.269,0.652,-16.153,,,,15.645,0.075,,,,,
PGC761585,G ,-26.9679608,10.6306295,3243,21,3243,21,,,18.8,0.5,,,,,,,,0.61,0.082,0.4,0.028,76,68.8,,18.474,15.861,,,,,-14.801,,,,15.99,0.086,,,,,
PGC762313,G ,-26.9130784,11.2388732,1762.9,28.5,1762.9,28.5,,,16.25,0.5,E?,,,,,-5,5,0.94,0.053,0.04,0.028,,34.21,0.984,15.941,15.871,,,,,-15.975,,12.475,0.534,15.995,0.079,,,,,
PGC762391,G ,-26.9075336,11.848486,3281.8,39.2,3281.8,39.2,,,16.68,0.5,S?,,,,,10,5,0.79,0.064,0.39,0.028,120,90,0.805,15.633,,,,,,-17.697,,13.15,0.594,,,,,,,
PGC763675,G ,-26.8028925,13.3259721,2242.1,63.5,2242.1,63.5,,,16.26,0.5,S?,,,,,10,5,0.9,0.055,0.25,0.028,142,65.47,0.916,15.521,14.94,,,,,-16.986,,12.385,0.199,15.06,0.087,,,,,
PGC763991,G ,-26.7782307,10.638253,3008.1,34.4,3008.1,34.4,,,16.25,0.5,E?,,,,,-2,5,0.78,0.065,0.17,0.028,60.5,56.82,0.807,15.903,14.362,,,,,-17.195,,12.679,0.224,14.495,0.079,,,,,
PGC768001,G ,-26.4230799,10.5519377,3055.8,39.2,3055.8,39.2,,,15.69,0.5,S?,,,,,5,5,0.86,0.058,0.4,0.028,114,69.49,0.876,14.658,13.883,,,,,-18.471,,11.56,0.275,14.035,0.075,,,,,
PGC770402,G ,-26.1981152,10.5415121,2981.5,5.4,2969.3,35.8,2982,7.4,16.39,0.5,S?,,,,,5,5,0.89,0.056,0.61,0.028,121.5,81.8,0.895,15.058,14.591,,,,,-18.009,,12.583,0.104,14.73,0.077,,,,,
PGC773465,G ,-25.935472,10.5799709,3181.7,27.8,3181.7,27.8,,,16.6,0.5,E?,,,,,-5,5,0.75,0.068,0.17,0.028,39.5,90,0.785,16.295,14.617,,,,,-16.923,,12.771,0.335,14.73,0.077,,,,,
PGC777145,G ,-25.597872,14.4976333,2544.6,39.2,2544.6,39.2,,,16.48,0.5,Sd,,,,,8,2,0.87,0.058,0.52,0.028,79,90,0.887,15.128,14.864,,,,,-17.711,,,,15.04,0.087,,,,,
PGC778835,G ,-25.4511467,14.5354463,2542.4,36.9,2542.4,36.9,,,16.42,0.5,S?,,,,,10,5,0.74,0.069,0.27,0.028,148,68.13,0.765,15.538,15.098,,,,,-17.301,,,,15.265,0.075,,,,,
PGC784557,G ,-24.9313996,12.3088956,3101.5,23.4,3101.5,23.4,,,16.07,0.5,S?,,,,,3,5,0.77,0.066,0.02,0.028,,17.88,0.804,15.644,,,,,,-17.574,,12.32,0.375,,,,,,,
PGC787555,G ,-24.6548419,15.3075101,2346.2,27.8,2346.2,27.8,,,16.45,0.5,S?,,,,,10,5,0.78,0.065,0.23,0.028,139,62.77,0.826,15.435,,,,,,-17.226,,,,,,,,,,
PGC789968,G ,-24.4374224,15.3256605,2100.9,39.2,2100.9,39.2,,,16.28,0.5,S?,,,,,5,5,0.631,0.077,0.13,0.028,134.56,43.26,0.681,15.458,15.115,,,,,-16.968,,13.643,0.2,15.374,0.102,,,,,
PGC790062,G ,-24.4272104,12.9017583,3284.1,6.2,3302.8,39.2,3283.3,8.1,16.21,0.5,S?,,,,,9,5,0.64,0.079,0.3,0.028,82,72.18,0.666,15.243,15.75,,,15.533,0.29,-18.114,,,,15.93,0.081,,,,,
PGC792714,G ,-24.1808566,15.3124235,1996,39.2,1996,39.2,,,16.79,0.5,S?,,,,,3,5,0.84,0.06,0.39,0.028,13.5,70.94,0.887,15.562,,,,,,-16.779,,13.911,0.194,,,,,,,
PGC794388,G ,-24.0295896,13.2918996,1966.3,39.2,1966.3,39.2,,,16.73,0.5,S?,,,,,10,5,0.64,0.079,0.08,0.028,178,37.64,0.679,16.133,15.788,,,,,-16.12,,12.575,0.178,15.985,0.075,,,,,
PGC795544,G ,-23.9216438,13.6002172,2611.2,39.2,2611.2,39.2,,,16.27,0.5,S?,,,,,7,5,0.97,0.051,0.41,0.028,89,68.9,1.002,15.012,14.694,,,,,-17.861,,,,14.92,0.077,,,,,
PGC796755,G ,-23.8151718,13.1261441,2996,77,2996,77,,,18.03,0.5,,,,,,,,0.62,0.081,0.43,0.028,140,70.66,,17.4,16.541,,,,,-15.759,,,,16.805,0.072,,,,,
PGC799951,G ,-23.5224596,13.0898592,2924.4,5.9,2932.8,17.1,2922.5,8.2,16.87,0.5,S?,,,,,5,5,0.91,0.055,0.46,0.028,158,73.27,0.95,15.464,15.261,,,15.842,0.378,-17.634,,,,15.535,0.089,,,,,
PGC803771,G ,-23.1873482,9.4229305,2610.9,39.2,2610.9,39.2,,,16.35,0.5,S0-a,,,,,-1,2,0.751,0.065,0.29,0.028,68.09,71.06,0.771,15.985,14.264,,,,,-16.785,,12.521,0.075,14.407,0.09,,,,,
PGC807172,G ,-22.9160829,9.7389076,719.8,39.2,719.8,39.2,,,16.83,0.5,E?,,,,,-5,5,0.64,0.079,0.05,0.028,36,38.43,0.691,16.491,15.491,,,,,-13.179,,,,15.635,0.079,,,,,
PGC810036,G ,-22.7086944,13.299825,1593.7,67,1593.7,67,,,16.62,0.5,Sm,,,,,9,2,0.86,0.058,0.37,0.028,8,84.29,0.888,15.48,,,,,,-16.33,,,,,,,,,,
PGC814799,G ,-22.3989333,14.2664847,3051.6,39.2,3051.6,39.2,,,16.365,0.409,S?,,,,,4,5,0.97,0.051,0.47,0.028,68,75.08,0.994,15.161,,,,,,-18.085,,13.67,0.142,,,,,,,
PGC819096,G ,-22.1097387,12.0702245,1692.4,6,1706,60,1692.1,8.3,16.39,0.5,Sm,,,,,9,2,0.68,0.075,0.14,0.028,22,49.32,0.696,15.902,14.795,,,15.668,-0.235,-15.961,,13.52,0.406,14.895,0.079,,,,,
PGC819534,G ,-22.0815,13.2767667,2391.1,45,2391.1,45,,,16.24,0.5,,,,,,,,0.97,0.051,0.47,0.028,20,72.98,,15.727,14.665,,,,,-16.971,,13.215,0.25,14.88,0.077,,,,,
PGC821034,G ,-21.9749468,9.7310388,2244.9,42.8,2244.9,42.8,,,16.42,0.5,E?,,,,,-5,5,0.92,0.054,0.37,0.028,47,90,0.951,16.099,,,,,,-16.326,,,,,,,,,,
PGC822312,G ,-21.8895886,10.8636467,3097.5,39.2,3097.5,39.2,,,15.81,0.5,SBd,B,,,,8,2,0.79,0.064,0.41,0.028,76,90,0.8,14.769,15.254,,,,,-18.419,,,,15.38,0.093,,,,,
PGC822985,G ,-21.8422665,13.3709971,1863,11,1863,11,,,16.81,0.5,,,,,,,,0.93,0.053,0.56,0.028,179,77.7,,16.285,15.257,,,,,-15.877,,,,15.48,0.077,,,,,
PGC823428,G ,-21.8092328,13.3776294,2067,19,2067,19,,,17.81,0.5,,,,,,,,0.6,0.083,0.41,0.028,53,69.44,,17.287,,,,,,-15.096,,,,,,,,,,
PGC827500,G ,-21.4947103,13.4791906,1909.4,39.2,1909.4,39.2,,,15.84,0.5,S0-a,,,,,-1,2,0.97,0.051,0.45,0.028,2.5,90,0.99,15.415,13.671,,,,,-16.793,,12.241,0.161,13.845,0.075,,,,,
PGC829447,G ,-21.3487778,13.1639972,1509.8,45,1509.8,45,,,16.4,0.5,I,,,,,10,2,0.65,0.078,0.17,0.028,53,54.16,0.686,15.624,15.393,,,,,-16.073,,,,15.595,0.079,,,,,
PGC831183,G ,-21.2132778,9.7144778,3172.7,45,3172.7,45,,,16.12,0.5,,,,,,,,0.86,0.058,0.59,0.028,107,79.17,,15.819,14.196,,,,,-17.399,,,,14.315,0.135,,,,,
PGC831721,G ,-21.1742727,13.2995289,1575,21,1575,21,,,16.65,0.5,,,,,,,,0.76,0.067,0.31,0.028,58,62.39,,16.158,,,,,,-15.651,,14.3,0.1,,,,,,,
PGC832917,G ,-21.0829251,9.7586624,2538.9,63.5,2538.9,63.5,,,16.44,0.5,E?,,,,,-5,5,0.76,0.067,0.07,0.028,179,46.02,0.795,16.169,14.688,,,,,-16.528,,,,14.79,0.081,,,,,
PGC1137065,G ,-0.6923523,12.0839408,1329.2,40.7,1329.2,40.7,,,17.06,0.023,I,,,,,10,1.4,0.58,0.086,0.17,0.028,43,54.16,0.584,16.634,15.892,,,,,-14.884,,20.454,0.332,15.94,0.1,17.38,,,0.04,
PGC837333,G ,-20.7582155,15.2272613,2230.8,39.2,2230.8,39.2,,,16.46,0.5,S?,,,,,5,5,0.808,0.071,0.21,0.028,108.34,53.5,0.862,15.428,14.253,,,,,-17.158,,13.407,0.075,14.544,0.09,,,,,
PGC838214,G ,-20.6950416,9.7324763,1999,39.2,1999,39.2,,,16.15,0.5,S?,,,,,8,5,1.07,0.045,0.55,0.028,175,90,1.073,14.881,,,,,,-17.281,,,,,,,,,,
PGC839320,G ,-20.6094934,13.3600558,2184,16,2184,16,,,16.79,0.5,,,,,,,,0.72,0.071,0.26,0.028,130,58.12,,16.355,15.558,,,,,-16.151,,,,15.74,0.087,,,,,
PGC840235,G ,-20.5433216,8.7411989,13.1,45,13.1,45,,,17.89,0.5,,,,,,,,0.48,0.099,0.19,0.028,,50.91,,17.228,15.299,,,,,,,12.576,0.118,15.59,0.077,,,,,
PGC841170,G ,-20.4787949,13.3917689,1574,18,1574,18,,,16.81,0.5,,,,,,,,0.72,0.071,0.3,0.028,170,61.58,,16.354,,,,,,-15.455,,,,,,,,,,
PGC844434,G ,-20.2410833,13.2571861,3003,45,3003,45,,,16.46,0.5,,,,,,,,0.64,0.079,0.04,0.028,,24.64,,15.946,,,,,,-17.242,,,,,,,,,,
PGC845843,G ,-20.137188,8.9317285,2771.9,42.8,2771.9,42.8,,,16.33,0.464,S?,,,,,2,5,0.69,0.074,0.14,0.028,116.5,46.1,0.752,15.408,,,,,,-17.465,,13.011,0.217,,,,,,,
PGC854314,G ,-19.5052947,14.8344352,2635.2,39.2,2635.2,39.2,,,16.38,0.5,S?,,,,,7,5,0.83,0.061,0.22,0.028,78,53.92,0.857,15.589,14.596,,,,,-17.351,,,,14.765,0.079,,,,,
PGC858660,G ,-19.190103,8.7933153,3296.2,39.2,3296.2,39.2,,,16.675,0.487,S0-a,,,,,-1,2,0.55,0.09,0.19,0.028,42.5,57.28,0.602,16.009,14.264,,,,,-17.266,,12.65,0.087,14.535,0.079,,,,,
PGC862077,G ,-18.9211079,9.0157817,1970.2,39.2,1970.2,39.2,,,16.5,0.5,E?,,,,,-5,5,0.73,0.073,0.275,0.03,78.32,90,0.844,15.698,14.155,,,,,-16.417,,12.886,0.195,14.495,0.116,,,,,
PGC865347,G ,-18.659008,9.8923373,2344.7,63.5,2344.7,63.5,,,16.54,0.5,S?,,,,,7,5,0.89,0.056,0.27,0.028,161,58.68,0.898,15.843,15.071,,,,,-16.703,,,,15.16,0.093,,,,,
PGC872010,G ,-18.1534167,11.8810667,1891.4,45,1891.4,45,,,17.12,0.5,,,,,,,,0.65,0.078,0.33,0.028,62,63.94,,16.951,,,,,,-15.165,,,,,,,,,,
PGC872424,G ,-18.128361,12.8094958,2502.7,45,2502.7,45,,,16.98,0.5,,,,,,,,0.67,0.076,0.25,0.028,19,57.19,,16.663,,,,,,-16.106,,13.413,0.177,,,,,,,
PGC872895,G ,-18.090819,13.8725404,1585.9,39.2,1585.9,39.2,,,16.64,0.5,S?,,,,,9,5,0.66,0.077,0.25,0.028,34,65.47,0.683,15.826,15.651,,,,,-16.037,,,,15.805,0.079,,,,,
PGC873937,G ,-18.0188403,13.5114399,2631,39.2,2631,39.2,,,16.45,0.5,S?,,,,,3,5,0.76,0.067,0.35,0.028,46,67.81,0.776,15.614,15.335,,,,,-17.293,,,,15.475,0.072,,,,,
PGC874482,G ,-17.9823611,8.8900194,1830,5.2,1830,60,1830,7.4,17.4,0.5,I,,,,,10,2,0.507,0.101,0.116,0.029,120,45.03,0.578,16.384,15.223,,,16.332,-0.053,-15.532,,13.286,0.138,15.575,0.084,,,,,
PGC874650,G ,-17.9691437,9.4401758,1887.5,39.2,1887.5,39.2,,,16.65,0.5,S?,,,,,9,5,0.67,0.076,0.15,0.028,62.5,50.99,0.688,16.113,14.912,,,,,-15.905,,13.866,0.16,15.025,0.075,,,,,
PGC876394,G ,-17.8544111,8.8646415,1944.8,39.2,1944.8,39.2,,,16.55,0.363,S?,,,,,7,5,0.815,0.062,0.471,0.027,1.68,72.37,0.866,14.955,14.29,,,,,-17.112,,12.894,0.139,14.619,0.073,,,,,
PGC879717,G ,-17.6548534,13.4573072,1647.1,39.2,1647.1,39.2,,,16.2,0.5,Sd,,,,,8,2,0.95,0.052,0.37,0.028,41,84.29,0.974,15.105,14.412,,,,,-16.811,,11.64,0.16,14.595,0.079,,,,,
PGC880134,G ,-17.6293807,8.7838694,1788.3,39.2,1788.3,39.2,,,15.86,0.5,S?,,,,,3,5,0.797,0.062,0.165,0.031,146.04,49.05,0.844,15.026,14.127,,,,,-16.837,,12.675,0.627,14.38,0.074,,,,,
PGC888878,G ,-17.0945278,11.905075,2401.6,45,2401.6,45,,,16.34,0.5,,,,,,,,0.85,0.059,0.5,0.028,71,74.62,,16.069,16.011,,,,,-16.592,,,,16.12,0.074,,,,,
PGC889701,G ,-17.0420874,14.7372039,3011.7,39.2,3011.7,39.2,,,17.82,0.5,,,,,,,,0.77,0.066,0.35,0.028,169.5,65.41,,17.374,14.217,,,,,-15.872,,12.808,0.417,14.4,0.074,,,,,
PGC891364,G ,-16.9350037,8.5209542,1897.8,8.3,,,1897.8,8.3,16.12,0.5,,,,,,,,1.17,0.04,0.56,0.028,58,77.7,,15.857,13.663,,,14.902,-0.956,-16.16,,,,13.77,0.087,,,,,
PGC894987,G ,-16.6875833,12.214775,1517.1,5.4,1510.3,45,1517.3,7.7,16.27,0.5,S?,,,,,9,5,0.76,0.067,0.17,0.028,156,54.16,0.775,15.718,15.406,,,16.273,0.555,-15.979,,,,15.51,0.073,,,,,
PGC895428,G ,-16.653,11.9056292,2810.9,45,2810.9,45,,,15.21,0.5,,,,,,,,1,0.049,0.36,0.028,3,66.12,,14.989,14.225,,,,,-18.016,,13.596,0.236,14.31,0.074,,,,,
PGC895717,G ,-16.6299926,14.289203,2161.7,6.3,2167.5,39.2,2161.4,9.1,15.19,0.5,SABm,B,,,,9,2,0.89,0.056,0.02,0.028,,19.05,0.927,14.753,13.765,,,15.473,0.721,-17.754,,12.41,0.496,13.94,0.081,,,,,
PGC895793,G ,-16.6238333,13.1588542,2578.8,39,2578.8,39,,,16.16,0.5,,,,,,,,0.88,0.057,0.54,0.028,102,76.7,,15.747,13.989,,,,,-17.127,,13.482,0.289,14.16,0.148,,,,,
PGC896031,G ,-16.6029498,13.1485528,2585.7,31,2585.7,31,,,16.61,0.365,S?,,,,,2,5,0.82,0.062,0.35,0.028,158,69.26,0.843,15.772,14.77,,,,,-17.102,,13.001,0.112,14.945,0.079,,,,,
PGC896613,G ,-16.5582083,13.1860375,2930.8,45,2930.8,45,,,15.75,0.5,,,,,,,,0.97,0.051,0.35,0.028,167.5,65.41,,15.365,14.188,,,,,-17.794,,13.098,0.094,14.345,0.089,,,,,
PGC896975,G ,-16.5297402,14.2232181,2212.5,39.2,2212.5,39.2,,,15.52,0.5,S0,B,,,,-2,2,1.01,0.053,0.515,0.032,102,90,1.028,15.143,13.209,,,,,-17.442,,11.781,0.154,13.36,0.074,,,,,
PGC897426,G ,-16.4950278,12.7024417,2432.8,45,2432.8,45,,,16.58,0.5,,,,,,,,0.64,0.079,0.14,0.028,136,44.48,,16.384,15.339,,,,,-16.35,,,,15.415,0.079,,,,,
PGC900168,G ,-16.2793203,13.1693085,2226,50.7,2226,50.7,,,17.23,0.5,,,,,,,,0.68,0.075,0.25,0.028,96,57.19,,16.863,14.728,,,,,-15.683,,12.555,0.198,14.88,0.087,,,,,
PGC903648,G ,-16.0061399,9.2800696,2211.6,39.2,2211.6,39.2,,,16,0.5,S?,,,,,9,5,0.89,0.056,0.28,0.028,86,69.47,0.899,15.266,14.206,,,,,-17.118,,,,14.3,0.087,,,,,
PGC906912,G ,-15.7562911,9.7729648,3163.6,5.6,3179,60,3163.3,7.8,17.26,0.5,I,,,,,10,2,0.8,0.063,0.42,0.028,132,90,0.807,16.23,16.115,,,15.272,-0.958,-16.988,,13.275,0.269,16.225,0.09,,,,,
PGC914982,G ,-15.1564444,13.3228361,2832,50.7,2832,50.7,,,15.92,0.5,,,,,,,,0.77,0.066,0.19,0.028,123,50.91,,15.601,,,,,,-17.467,,13.117,0.133,,,,,,,
PGC916222,G ,-15.0637632,13.3110805,3186.8,45,3186.8,45,,,15.54,0.5,,,,,,,,1.08,0.044,0.62,0.028,18.67,80.64,,15.242,,,,,,-18.088,,13.264,0.463,,,,,,,
PGC918481,G ,-14.8979861,11.8937986,1673.4,45,1673.4,45,,,15.77,0.5,,,,,,,,0.94,0.053,0.11,0.028,157,39.85,,15.58,,,,,,-16.283,,11.903,0.16,,,,,,,
PGC919880,G ,-14.7932201,10.5585135,2474.8,39.2,2474.8,39.2,,,15.89,0.5,Sd,,,,,8,2,0.98,0.05,0.37,0.028,119,84.29,0.991,14.939,14.801,,,,,-17.759,,,,14.92,0.081,,,,,
PGC919931,G ,-14.788869,14.1635152,2323.1,39.2,2323.1,39.2,,,16.355,0.454,S?,,,,,5,5,0.58,0.086,0.04,0.028,,24.76,0.61,15.939,,,,,,-16.758,,14.001,0.116,,,,,,,
