objname,objtype,de2000,al2000,v,e_v,vopt,e_vopt,vrad,e_vrad,bt,e_bt,type,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,incl,logdc,btc,itc,ubtc,bvtc,m21c,hic,mabs,agnclass,kt,e_kt,it,e_it,ut,vt,mfir,e_ut,e_vt
PGC1195039,G ,1.4416,11.25875,60,89,60,89,,,18.54,0.5,,,,,,,,0.4,0.111,0.09,0.028,46,36.3,,18.376,,,,,,,,,,,,,,,,
PGC1195497,G ,1.4561,11.37596,120,123,120,123,,,18.66,0.5,,,,,,,,0.37,0.116,0.1,0.028,15,38.13,,18.5,,,,,,,,,,,,,,,,
PGC1196353,G ,1.4847241,11.2378179,60,64,60,64,,,18.34,0.5,,,,,,,,0.55,0.09,0.19,0.028,93,50.91,,18.124,15.31,,,,,,,14.105,0.069,15.405,0.075,,,,,
PGC1196742,G ,1.4983095,10.5923914,120,64,120,64,,,18.67,0.5,,,,,,,,0.5,0.096,0.09,0.028,147,36.3,,18.493,,,,,,,,,,,,,,,,
PGC1198113,G ,1.5444316,12.8133671,150,123,150,123,,,18.55,0.5,,,,,,,,0.46,0.102,0.33,0.028,26,63.94,,18.454,16.583,,,,,,,,,16.625,0.075,,,,,
PGC1199471,G ,1.587694,15.0921726,919.8,13.5,919.8,13.5,,,17.752,0.5,E,,,,,-5,2,0.462,0.108,0.101,0.027,126.78,56.59,0.495,17.508,16.491,,,,,-13.443,,,,16.593,0.047,18.898,17.09,,0.203,0.1
PGC1200180,G ,1.6096568,13.0386542,180,64,180,64,,,18.17,0.5,,,,,,,,0.47,0.1,0.06,0.028,51,29.96,,18.064,15.784,,,,,,,,,15.83,0.074,,,,,
PGC1202458,G ,1.6805985,15.1837013,1653.1,12.8,1653.1,12.8,,,17.228,0.5,E-S0,,,,,-3.5,2.1,0.656,0.077,0.09,0.027,165.35,45.24,0.684,16.966,15.863,,,,,-15.149,,,,15.968,0.124,18.634,,,0.052,
PGC1204677,G ,1.7503099,11.3794524,210,123,210,123,,,18.67,0.5,,,,,,,,0.42,0.108,0.09,0.028,34,36.3,,18.5,16.011,,,,,,,14.352,0.081,16.085,0.072,,,,,
PGC1208440,G ,1.8657903,8.5997822,3043,4.9,,,3043,4.9,16.945,0.5,Sa,,,,,0.8,3,0.63,0.085,0.31,0.027,0.19,67.76,0.635,16.479,16.066,,,16.787,0.309,-16.68,,,,16.147,0.102,17.72,,,0.021,
