NSA ID,NED,RA,DEC,Vr,CO,HI,Halpha,Pointing,Date Obs,Date Obs2,Alt Point,Date Obs,Filament,Group,Telescope,Dithers,R expt (s),Halpha expt (s),R expt tot,Halpha exp tot,R FWHM (iraf),R FWHM,Ha4 FWHM (iraf),Ha4 FWHM
56462,2MASX1352,,,,1,0,1,12,2017-05-21,,13,2017-05-20,0,1,kpno-0.9m,3,180,1200,540,3600,4.95,2.1384,5.02,2.16864
143951,N5326,,,,1,1,1,12,2017-05-21,,,,0,1,kpno-0.9m,3,180,1200,540,3600,4.95,2.1384,5.02,2.16864
143986,N5337,,,,1,1,1,12,2017-05-21,,13,2017-05-20,0,1,kpno-0.9m,3,180,1200,540,3600,4.95,2.1384,5.02,2.16864
56409,N5313,,,,1,1,1,14,2017-05-21,,,,0,1,kpno-0.9m,3,180,1200,540,3600,3.93,1.69776,4.98,2.15136
56469,N5311,,,,1,1,1,14,2017-05-21,,,,0,1,kpno-0.9m,3,180,1200,540,3600,3.93,1.69776,4.98,2.15136
93403,,,,,0,0,1,6,2017-05-21,,,,1,0,kpno-0.9m,3,180,1200,540,3600,4.97,2.14704,4.74,2.04768
143682,,,,,0,0,1,6,2017-05-21,,,,1,0,kpno-0.9m,,,,,,4.97,2.14704,4.74,2.04768
143686,,,,,0,0,1,6,2017-05-21,,,,1,0,kpno-0.9m,,,,,,4.97,2.14704,4.74,2.04768
163778,,,,,0,0,0,6,2017-05-21,,,,1,0,kpno-0.9m,,,,,,4.97,2.14704,4.74,2.04768
163783,,,,,0,0,1,6,2017-05-21,,,,1,0,kpno-0.9m,3,180,1200,540,3600,4.97,2.14704,4.74,2.04768
56466,,,,,0,0,0,12,2017-05-21,,,,0,1,kpno-0.9m,3,180,1200,540,3600,4.95,2.1384,5.02,2.16864
56402,,,,,0,0,0,14,2017-05-21,,,,0,1,kpno-0.9m,3,180,1200,540,3600,3.93,1.69776,4.98,2.15136
56410,,,,,0,0,1,14,2017-05-21,,,,0,1,kpno-0.9m,3,180,1200,540,3600,3.93,1.69776,4.98,2.15136
56411,,,,,0,0,1,14,2017-05-21,,,,0,1,kpno-0.9m,3,180,1200,540,3600,3.93,1.69776,4.98,2.15136
143940,,,,,0,0,0,14,2017-05-21,,,,0,1,kpno-0.9m,3,180,1200,540,3600,3.93,1.69776,4.98,2.15136
143827,U8693,,,,1,1,1,7,2017-05-22,,,,1,0,kpno-0.9m,3,180,600x2,540,3600,3.6,1.5552,4.01,1.73232
54578,Mrk1484,,,,1,1,-1,19,2017-05-22,,,,0,1,kpno-0.9m,,,,,,3.76,1.62432,3.69,1.59408
56434,N5320,,,,1,1,1,19,2017-05-22,,,,0,1,kpno-0.9m,,,,,,3.76,1.62432,3.69,1.59408
61674,CGCG246,,,,1,0,0,23,2017-05-22,,,,0,1,kpno-0.9m,3,180,1200(1 600x2),540,3600,3.98,1.71936,4.18,1.80576
61690,N5173,,,,1,1,1,23,2017-05-22,,,,0,1,kpno-0.9m,3,180,1200(1 600x2),540,3600,3.98,1.71936,4.18,1.80576
61691,N5169,,,,1,1,1,23,2017-05-22,,,,0,1,kpno-0.9m,3,180,1200(1 600x2),540,3600,3.98,1.71936,4.18,1.80576
61692,MCG08-25,,,,1,1,1,23,2017-05-22,,,,0,1,kpno-0.9m,3,180,1200(1 600x2),540,3600,3.98,1.71936,4.18,1.80576
90371,,,,,0,0,1,7,2017-05-22,,,,,,kpno-0.9m,,,,,,3.6,1.5552,4.01,1.73232
54579,,,,,0,0,0,19,2017-05-22,,,,0,1,kpno-0.9m,,,,,,3.76,1.62432,3.69,1.59408
143545,,,,,0,0,0,23,2017-05-22,,,,0,1,kpno-0.9m,,,,,,3.98,1.71936,4.18,1.80576
143555,N5198,,,,0,0,0,23,2017-05-22,,,,0,1,kpno-0.9m,,,,,,3.98,1.71936,4.18,1.80576
67595,U8919,,,,1,1,0,10,2017-05-23,,,,1,,kpno-0.9m,3,180,1200,540,3600,4.34,1.87488,4.23,1.82736
120053,U8409,,,,1,0,1,27,2017-05-23,,,,1,0,kpno-0.9m,3,180,1200,540,3600,4.13,1.78416,4.06,1.75392
104439,N5116,,,,1,1,1,28,2017-05-23,,,,,,kpno-0.9m,3,180,1200,540,3600,4.03,1.74096,4.42,1.90944
67593,,,,,0,0,1,10,2017-05-23,,,,,,kpno-0.9m,,,,,,4.34,1.87488,4.23,1.82736
136042,N2964,,,,1,1,,19 (2018),2018-03-12,,,,,,kpno-0.9m,4,180,600x3,720,4800,,,,
31560,N5356,,,,1,1,1,56 (2018),2018-03-12,,,,,,kpno-0.9m,3,180,600,540,1800,,,,
144114,N5363,,,,1,1,,56 (2018),2018-03-12,,,,,,kpno-0.9m,3,180,600,540,1800,,,,
144118,N5364,,,,1,1,1,56 (2018),2018-03-12,,,,,,kpno-0.9m,3,180,600,540,1800,,,,
164223,N5360,,,,1,1,,56 (2018),2018-03-12,,,,,,kpno-0.9m,3,180,600,540,1800,,,,
85197,,,,,,,,19 (2018),2018-03-12,,,,,,kpno-0.9m,4,180,600x5,720,4800,,,,
85513,N2968,,,,,1,,19 (2018),2018-03-12,,,,,,kpno-0.9m,4,180,600x4,720,4800,,,,
136050,N2970,,,,,1,,19 (2018),2018-03-12,,,,,,kpno-0.9m,4,180,600x2,720,4800,,,,
31561,,,,,,,,56 (2018),2018-03-12,,,,,,kpno-0.9m,3,180,600,540,1800,,,,
31562,,,,,,,,56 (2018),2018-03-12,,,,,,kpno-0.9m,3,180,600,540,1800,,,,
56478,Mrk 0462,,,,1,,,54 (2018),2018-03-15,,,,,,kpno-0.9m,4,180,600x2,720,4800,,,,
56405,,,,,,,,54 (2018),2018-03-15,,,,,,kpno-0.9m,4,180,600x2,720,4800,,,,
56406,,,,,,,,54 (2018),2018-03-15,,,,,,kpno-0.9m,4,180,600x2,720,4800,,,,
56411,,,,,,,,54 (2018),2018-03-15,,,,,,kpno-0.9m,4,180,600x2,720,4800,,,,
56413,,,,,,,,54 (2018),2018-03-15,,,,,,kpno-0.9m,4,180,600x2,720,4800,,,,
