NSA ID,NED,RA,DEC,Vr,CO,HI,Halpha,Pointing,Date Obs,Date Obs2,Alt Point,Date Obs,Filament,Group,Telescope,filter,Dithers,R expt (s),Halpha expt (s),R expt tot,Halpha exp tot,R FWHM (iraf),R FWHM,Ha4 FWHM (iraf),Ha4 FWHM
114200,IC1131,,,2017.00394,,,,not in my list,2019-05-04,,,,,,INT-2.5m,,,,,,,,,,
114557,NGC6012,,,1858,,,,,2019-05-04,,,,,,INT-2.5m,,,,,,,,,,
146484,,,,1855,,,,bonus in FOV,,,,,,,,,,,,,,,,,
114554,,,,1975,,,,bonus in FOV,,,,,,,,,,,,,,,,,
121129,NGC5956,,,,,,,,2019-05-04,,,,,,INT-2.5m,,,,,,,,,,
146236,NGC5951,,,,,,,,2019-05-04,,,,,,INT-2.5m,,,,,,,,,,
146356,UGC09991,,,,,,,,2019-05-04,,,,,,INT-2.5m,,,,,,,,,,
146352,,,,,,,,bonus in FOV,,,,,,,,,,,,,,,,,
48222,,,,,,,,8,2019-04-30,,,,,,40-inch,,,,,,,,,,
93977,,,,,,,,17,2019-04-30,,,,,,40-inch,,,,,,,,,,
90053,,,,,,,,31,2019-04-30,,,,,,40-inch,,,,,,,,,,
163803,,,,,,,,34,2019-04-30,,,,,,40-inch,,,,,,,,,,
143894,,,,,,,,36,2019-04-30,,,,,,40-inch,,,,,,,,,,
56408,,,,,,,,38,2019-04-30,,,,,,40-inch,,,,,,,,,,
145756,,,,,,,,61,2019-04-30,,,,,,40-inch,,,,,,,,,,
166335,,,,,,,,84,2019-04-30,,,,,,40-inch,,,,,,,,,,
146317,,,,,,,,85,2019-04-30,,,,,,40-inch,,,,,,,,,,
166816,,,,,,,,93,2019-04-30,,,,,,40-inch,,,,,,,,,,
147100,,,,,,,,95,2019-04-30,,,,,,40-inch,,,,,,,,,,
