                  objname , objtype ,     de2000 ,     al2000 ,        v ,      e_v ,     vopt ,   e_vopt ,     vrad ,   e_vrad ,     bt ,   e_bt ,  type ,  bar ,  ring ,  multiple , compactness ,     t ,   e_t ,   logd25 , e_logd25 ,   logr25 , e_logr25 ,     pa ,   incl ,    logdc ,    btc ,    itc ,   ubtc ,   bvtc ,   m21c ,    hic ,   mabs , agnclass ,     kt ,  e_kt ,     it ,   e_it ,     ut ,     vt ,   mfir ,  e_ut ,  e_vt ,</strong>
  NGC6237                     , G       ,   70.35877 ,   16.77278 ,     1132 ,        3 ,     1144 ,       13 ,     1131 ,        3 ,  14.03 ,   0.32 , SBc   , B    ,       ,           ,             ,   6.4 ,   0.8 ,     1.09 ,     0.04 ,     0.21 ,     0.03 ,  157.4 ,   52.7 ,     1.10 ,  13.51 ,  12.73 ,        ,        ,  13.84 ,   0.33 , -18.28 ,          , 13.154 , 0.401 ,  12.79 ,   0.06 ,        ,        ,        ,       ,       ,
  NGC6339                     , G       ,   40.84501 ,   17.28512 ,     2108 ,        4 ,     2089 ,       13 ,     2110 ,        3 ,  13.76 ,   0.37 , Sc    , B    ,       ,           ,             ,   6.3 ,   0.9 ,     1.27 ,     0.04 ,     0.20 ,     0.03 ,  169.5 ,   52.0 ,     1.27 ,  13.27 ,  12.26 ,        ,        ,  14.78 ,   1.51 , -18.91 ,          , 11.005 , 0.189 ,  12.31 ,   0.76 , 15.165 ,        ,  13.13 , 0.012 ,       ,
  UGC05442                    , G       ,   67.82754 ,   10.11717 ,      -16 ,       10 ,      -16 ,       10 ,          ,          ,  16.70 ,   1.35 , I     ,      ,       ,           ,             ,   9.8 ,   0.5 ,     1.24 ,     0.05 ,     0.30 ,     0.04 ,        ,   71.6 ,     1.25 ,  15.92 ,        ,        ,        ,        ,        , -11.94 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  UGC03685                    , G       ,   61.59550 ,    7.15165 ,     1796 ,        1 ,     1796 ,        3 ,     1796 ,        3 ,  13.00 ,   0.33 , Sb    , B    , R     ,           ,             ,   3.0 ,   0.4 ,     1.28 ,     0.03 ,     0.22 ,     0.03 ,        ,   55.4 ,     1.29 ,  12.41 ,        ,        ,        ,  13.50 ,   1.09 , -19.88 ,          ,   9.51 ,  0.08 ,        ,        ,        ,        ,  12.52 ,       ,       ,
  UGC03826                    , G       ,   61.69392 ,    7.40775 ,     1733 ,        2 ,     1727 ,       30 ,     1733 ,        3 ,  14.86 ,   0.34 , SABc  , B    ,       ,           , D           ,   6.6 ,   0.7 ,     1.51 ,     0.04 ,     0.06 ,     0.03 ,   96.9 ,   29.8 ,     1.54 ,  14.44 ,        ,        ,        ,  14.19 ,  -0.25 , -17.81 ,          , 12.868 , 0.198 ,        ,        ,        ,        ,        ,       ,       ,
  UGC03876                    , G       ,   27.90021 ,    7.48820 ,      862 ,        3 ,      734 ,      132 ,      862 ,        3 ,  14.04 ,   0.38 , SABc  , B    ,       ,           ,             ,   6.6 ,   0.7 ,     1.28 ,     0.03 ,     0.30 ,     0.02 ,    0.3 ,   61.4 ,     1.28 ,  13.30 ,  12.28 ,        ,        ,  14.07 ,   0.78 , -18.67 ,          , 12.083 , 0.437 ,  12.37 ,   0.23 ,   14.5 ,  13.11 ,        ,  0.01 ,   0.1 ,
  NGC3147                     , G       ,   73.40073 ,   10.28158 ,     2814 ,        2 ,     2814 ,        5 ,     2814 ,        4 ,  11.26 ,   0.15 , Sbc   ,      ,       ,           ,             ,   3.9 ,   0.5 ,     1.61 ,     0.04 ,     0.06 ,     0.05 ,  151.7 ,   31.2 ,     1.62 ,  11.03 ,        ,        ,   0.77 ,  14.13 ,   3.10 , -21.92 , S2       ,  7.439 , 0.051 ,        ,        ,        , 11.942 ,  10.69 ,       , 1.036 ,
  NGC6283                     , G       ,   49.92197 ,   16.99071 ,     1093 ,       36 ,     1093 ,       36 ,          ,          ,  13.64 ,   0.32 , Sc    ,      , R     ,           ,             ,   4.5 ,   1.5 ,     1.04 ,     0.04 ,     0.05 ,     0.03 ,   55.5 ,   28.6 ,     1.05 ,  13.45 ,        ,        ,        ,        ,        , -18.12 ,          , 11.042 , 0.259 ,        ,        ,        ,        ,  12.84 ,       ,       ,
  NGC6207                     , G       ,   36.83232 ,   16.71770 ,      852 ,        2 ,      849 ,       14 ,      852 ,        2 ,  11.86 ,   0.22 , Sc    ,      ,       ,           ,             ,   5.0 ,   0.6 ,     1.54 ,     0.04 ,     0.33 ,     0.04 ,   17.0 ,   64.7 ,     1.53 ,  11.22 ,  10.77 ,  -0.24 ,   0.45 ,  13.99 ,   2.76 , -19.73 ,          ,  9.144 , 0.046 ,  10.80 ,   0.06 , 11.675 , 11.645 ,  11.34 , 0.222 ,  0.17 ,
  IC1251                      , G       ,   72.41060 ,   17.17031 ,     1170 ,        8 ,     1232 ,       30 ,     1169 ,        5 ,  14.33 ,   0.32 , Sc    ,      ,       ,           ,             ,   6.0 ,   0.4 ,     1.08 ,     0.04 ,     0.27 ,     0.04 ,   66.8 ,   59.3 ,     1.09 ,  13.63 ,  13.16 ,        ,        ,  14.87 ,   1.23 , -19.54 ,          , 12.034 , 0.107 ,  13.26 ,   0.08 ,        ,        ,        ,       ,       ,
  UGC10791                    , G       ,   72.39875 ,   17.24408 ,     1328 ,        3 ,     1315 ,       91 ,     1328 ,        4 ,  15.40 ,   0.33 , Sm    , B    , R     ,           , D           ,   8.8 ,   0.5 ,     1.27 ,     0.07 ,     0.00 ,     0.06 ,        ,    0.0 ,     1.29 ,  15.19 ,        ,        ,        ,  15.97 ,   0.78 , -17.37 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  UGC03574                    , G       ,   57.17775 ,    6.88624 ,     1441 ,        2 ,     1422 ,       28 ,     1442 ,        2 ,  13.82 ,   0.32 , Sc    ,      ,       ,           ,             ,   5.8 ,   0.5 ,     1.17 ,     0.04 ,     0.03 ,     0.02 ,        ,   21.9 ,     1.19 ,  13.53 ,  11.02 ,        ,        ,  13.72 ,   0.19 , -17.81 ,          , 10.566 , 0.174 ,  11.12 ,   0.06 ,        ,        ,  13.23 ,       ,       ,
  NGC2985                     , G       ,   72.27919 ,    9.83946 ,     1323 ,        3 ,     1320 ,       10 ,     1324 ,        4 ,  11.21 ,   0.07 , Sab   ,      ,       ,           ,             ,   2.4 ,   0.7 ,     1.56 ,     0.03 ,     0.09 ,     0.03 ,  177.0 ,   37.9 ,     1.56 ,  10.96 ,   8.94 ,        ,   0.69 ,  12.94 ,   1.99 , -20.85 , S1.9     ,  7.412 , 0.113 ,   9.00 ,   0.08 ,        , 10.512 ,  10.93 ,       , 0.069 ,
  NGC3027                     , G       ,   72.20363 ,    9.92793 ,     1058 ,        2 ,     1046 ,       71 ,     1058 ,        3 ,  12.18 ,   0.07 , Sc    , B    ,       ,           ,             ,   6.4 ,   0.8 ,     1.52 ,     0.03 ,     0.42 ,     0.03 ,  128.3 ,   69.9 ,     1.52 ,  11.28 ,  11.38 ,  -0.24 ,   0.30 ,  12.86 ,   1.57 , -19.90 ,          , 10.938 , 0.261 ,  11.44 ,   0.06 , 12.031 , 11.761 ,  12.94 , 0.065 , 0.065 ,
