                  objname , objtype ,     de2000 ,     al2000 ,        v ,      e_v ,     vopt ,   e_vopt ,     vrad ,   e_vrad ,     bt ,   e_bt ,  type ,  bar ,  ring ,  multiple , compactness ,     t ,   e_t ,   logd25 , e_logd25 ,   logr25 , e_logr25 ,     pa ,   incl ,    logdc ,    btc ,    itc ,   ubtc ,   bvtc ,   m21c ,    hic ,   mabs , agnclass ,     kt ,  e_kt ,     it ,   e_it ,     ut ,     vt ,   mfir ,  e_ut ,  e_vt ,</strong>

  PGC740471                   , G       ,  -28.53844 ,    7.04179 ,     2521 ,       65 ,     2521 ,       65 ,          ,          ,  16.26 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.77 ,     0.07 ,     0.21 ,     0.03 ,  163.0 ,   53.1 ,          ,  15.71 ,  14.36 ,        ,        ,        ,        , -16.88 ,          , 12.958 ,  0.19 ,  14.60 ,   0.08 ,        ,        ,        ,       ,       ,
  PGC747791                   , G       ,  -27.94227 ,    6.85114 ,     2424 ,       39 ,     2424 ,       39 ,          ,          ,  17.27 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.60 ,     0.08 ,     0.24 ,     0.03 ,   90.7 ,   56.6 ,          ,  16.70 ,  14.78 ,        ,        ,        ,        , -15.80 ,          , 12.779 , 0.103 ,  15.02 ,   0.07 ,        ,        ,        ,       ,       ,
  PGC1041550                  , G       ,   -5.69319 ,   17.37312 ,     1622 ,        4 ,     1629 ,       38 ,     1622 ,        5 ,  17.36 ,   0.50 , S?    ,      ,       ,           ,             ,   7.0 ,   5.0 ,     0.72 ,     0.07 ,     0.46 ,     0.03 ,  140.0 ,   71.8 ,     0.97 ,  13.70 ,  13.88 ,        ,        ,  13.71 ,   0.01 , -18.37 ,          , 12.811 , 0.501 ,  15.13 ,   0.09 ,        ,        ,        ,       ,       ,
  PGC1146040                  , G       ,   -0.32922 ,   16.79977 ,     2351 ,        7 ,     6594 ,       43 ,     2351 ,        7 ,  16.83 ,   0.50 , S?    ,      ,       ,           ,             ,  10.0 ,   5.0 ,     0.75 ,     0.07 ,     0.29 ,     0.04 ,   45.4 ,   70.6 ,     0.81 ,  15.53 ,  14.19 ,        ,        ,  14.88 ,  -0.65 , -17.28 ,          , 12.751 , 0.108 ,  14.52 ,   0.10 ,        ,        ,        ,       ,       ,
  PGC1330929                  , G       ,    7.78687 ,   17.16557 ,     2591 ,        4 ,     2596 ,       60 ,     2591 ,        6 ,  16.70 ,   0.50 , Sm    ,      ,       ,           ,             ,   9.0 ,   1.4 ,     0.86 ,     0.06 ,     0.48 ,     0.03 ,  136.0 ,   90.0 ,     0.89 ,  15.26 ,        ,        ,        ,  14.36 ,  -0.90 , -17.77 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC1381842                  , G       ,   10.60171 ,   18.55521 ,     3165 ,        6 ,          ,          ,     3165 ,        6 ,  17.96 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.58 ,     0.09 ,     0.31 ,     0.03 ,  179.0 ,   62.4 ,          ,  16.82 ,        ,        ,        ,  15.12 ,  -1.69 , -16.62 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC1404402                  , G       ,   12.13853 ,   18.49556 ,     2518 ,       23 ,     2518 ,       23 ,          ,          ,  14.37 ,   0.50 , Sa    ,      ,       ,           ,             ,   1.0 ,   2.0 ,     1.15 ,     0.04 ,     0.32 ,     0.03 ,  140.5 ,   68.4 ,     1.26 ,  12.81 ,        ,        ,        ,        ,        , -20.19 ,          ,  9.559 , 0.051 ,        ,        ,        ,        ,        ,       ,       ,
  PGC1454473                  , G       ,   14.29436 ,   16.58525 ,       20 ,       19 ,       20 ,       19 ,          ,          ,  18.67 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.37 ,     0.12 ,     0.17 ,     0.03 ,        ,   48.5 ,          ,  18.42 ,  17.31 ,        ,        ,        ,        ,        ,          ,        ,       ,  17.42 ,   0.08 ,  19.91 ,        ,        , 0.053 ,       ,
  PGC1502546                  , G       ,   16.17504 ,   16.18260 ,     -408 ,       25 ,     -408 ,       25 ,          ,          ,  17.85 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.46 ,     0.10 ,     0.19 ,     0.03 ,  108.5 ,   50.9 ,          ,  17.65 ,  16.25 ,        ,        ,        ,        ,        ,          ,  13.39 ,  0.18 ,  16.34 ,   0.07 , 18.623 ,        ,        , 0.038 ,       ,
  PGC1510033                  , G       ,   16.49086 ,   16.13841 ,     1139 ,        3 ,     1142 ,        6 ,     1137 ,        4 ,  19.02 ,   1.27 , IB    , B    ,       ,           ,             ,  10.0 ,   2.0 ,     0.55 ,     0.10 ,     0.44 ,     0.03 ,   46.0 ,   90.0 ,     0.55 ,  18.01 ,  18.27 ,        ,        ,  17.09 ,  -0.92 , -13.51 ,          ,        ,       ,  18.36 ,   1.30 , 20.406 ,        ,        , 0.971 ,       ,
  PGC1577636                  , G       ,   19.01279 ,   16.01402 ,      -60 ,       36 ,      -60 ,       36 ,          ,          ,  17.90 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.61 ,     0.09 ,     0.15 ,     0.03 ,   86.7 ,   45.9 ,          ,  17.71 ,  16.46 ,        ,        ,        ,        ,        ,          ,        ,       ,  16.54 ,   0.30 , 19.432 ,        ,        , 0.154 ,       ,
  PGC1602186                  , G       ,   19.69573 ,   16.53676 ,     2500 ,       60 ,     2500 ,       60 ,          ,          ,  18.20 ,   0.50 , Sc    ,      ,       ,           ,             ,   4.8 ,   3.0 ,     0.65 ,     0.08 ,     0.38 ,     0.03 ,   30.0 ,   68.3 ,     0.66 ,  17.32 ,        ,        ,        ,        ,        , -15.69 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC1619923                  , G       ,   20.20588 ,   17.12204 ,     -105 ,       22 ,     -105 ,       22 ,          ,          ,  17.97 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.41 ,     0.10 ,     0.22 ,     0.03 ,   32.2 ,   53.8 ,          ,  17.70 ,  16.78 ,        ,        ,        ,        ,        ,          ,        ,       ,  16.90 ,   0.10 , 18.966 ,        ,        , 0.027 ,       ,
  PGC1642468                  , G       ,   21.08737 ,   16.78630 ,     2728 ,        1 ,     2728 ,        1 ,          ,          ,  17.35 ,   0.50 , S?    ,      ,       ,           ,             ,  10.0 ,   5.0 ,     0.53 ,     0.09 ,     0.26 ,     0.03 ,  102.2 ,   66.4 ,     0.54 ,  16.66 ,  17.57 ,        ,        ,        ,        , -16.52 ,          ,        ,       ,  17.66 ,   0.32 , 17.817 ,        ,        , 0.115 ,       ,
  PGC1646422                  , G       ,   21.26543 ,   17.83653 ,     3222 ,        4 ,     3222 ,       60 ,     3222 ,        6 ,  16.57 ,   0.50 , Sc    ,      ,       ,           ,             ,   6.0 ,   2.0 ,     0.66 ,     0.08 ,     0.27 ,     0.03 ,  164.5 ,   59.0 ,     0.69 ,  15.68 ,        ,        ,        ,  16.57 ,   0.89 , -17.83 ,          , 13.595 , 0.166 ,        ,        ,        ,        ,        ,       ,       ,
  PGC1648097                  , G       ,   21.34392 ,   16.21788 ,     -153 ,       42 ,     -153 ,       42 ,          ,          ,  18.74 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.39 ,     0.11 ,     0.16 ,     0.04 ,   75.8 ,   46.7 ,          ,  18.35 ,  16.82 ,        ,        ,        ,        ,        ,          , 14.083 , 0.143 ,  16.99 ,   0.07 , 19.894 ,        ,        , 0.119 ,       ,
  PGC1670286                  , G       ,   22.45945 ,   16.87204 ,      -42 ,       56 ,      -42 ,       56 ,          ,          ,  17.80 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.55 ,     0.09 ,     0.37 ,     0.03 ,  167.5 ,   66.8 ,          ,  17.48 ,  16.57 ,        ,        ,        ,        ,        ,          ,        ,       ,  16.71 ,   0.34 , 18.818 ,        ,        , 0.093 ,       ,
  PGC1681736                  , G       ,   23.11706 ,   17.00434 ,     3012 ,        1 ,     3012 ,        1 ,          ,          ,  20.39 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.57 ,     0.09 ,     0.37 ,     0.03 ,   19.0 ,   66.8 ,          ,  20.05 ,  20.31 ,        ,        ,        ,        , -13.34 ,          ,        ,       ,  20.45 ,   0.10 , 20.329 ,        ,        , 0.058 ,       ,
  PGC1683820                  , G       ,   23.23563 ,   16.50380 ,      -42 ,       31 ,      -42 ,       31 ,          ,          ,  18.70 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.35 ,     0.14 ,     0.08 ,     0.03 ,   34.8 ,   34.4 ,          ,  18.49 ,  16.93 ,        ,        ,        ,        ,        ,          ,        ,       ,  17.02 ,   0.08 , 20.262 ,        ,        , 0.073 ,       ,
  PGC1751005                  , G       ,   25.81717 ,   16.97114 ,      709 ,        1 ,      709 ,        1 ,          ,          ,  17.50 ,   0.50 , E     ,      ,       ,           ,             ,  -5.0 ,   3.0 ,     0.53 ,     0.09 ,     0.07 ,     0.03 ,   80.9 ,   46.0 ,     0.57 ,  17.23 ,  16.42 ,        ,        ,        ,        , -13.56 ,          ,        ,       ,  16.54 ,   0.07 , 18.516 ,        ,        , 0.028 ,       ,
  PGC1798958                  , G       ,   27.14450 ,   18.31570 ,     2985 ,        8 ,     2985 ,       60 ,     2985 ,       12 ,  18.10 ,   0.50 , Sm    ,      ,       ,           ,             ,   9.0 ,   1.7 ,     0.72 ,     0.07 ,     0.58 ,     0.03 ,   90.0 ,   90.0 ,     0.75 ,  16.49 ,        ,        ,        ,  14.69 ,  -1.81 , -16.86 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC1805131                  , G       ,   27.34118 ,   16.10153 ,      -78 ,       24 ,      -78 ,       24 ,          ,          ,  17.88 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.51 ,     0.11 ,     0.27 ,     0.03 ,  168.1 ,   59.0 ,          ,  17.72 ,  16.30 ,        ,        ,        ,        ,        ,          , 13.539 , 0.113 ,  16.38 ,   0.07 , 19.364 ,        ,        , 0.039 ,       ,
  PGC1812371                  , G       ,   27.58354 ,   16.30854 ,       -6 ,        8 ,       -6 ,        8 ,          ,          ,  17.82 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.53 ,     0.09 ,     0.10 ,     0.03 ,  125.0 ,   37.9 ,          ,  17.61 ,  15.82 ,        ,        ,        ,        ,        ,          , 13.453 , 0.084 ,  15.91 ,   0.07 , 19.417 ,        ,        , 0.058 ,       ,
  PGC1917922                  , G       ,   30.78588 ,   16.56768 ,     -189 ,       25 ,     -189 ,       25 ,          ,          ,  17.52 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.53 ,     0.10 ,     0.01 ,     0.03 ,        ,   12.4 ,          ,  17.44 ,  16.35 ,        ,        ,        ,        ,        ,          , 13.678 , 0.113 ,  16.39 ,   0.14 , 18.542 ,        ,        , 0.036 ,       ,
  PGC1925615                  , G       ,   30.96274 ,   16.24471 ,     -159 ,       22 ,     -159 ,       22 ,          ,          ,  18.43 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.46 ,     0.10 ,     0.29 ,     0.03 ,   53.6 ,   60.5 ,          ,  18.30 ,  17.32 ,        ,        ,        ,        ,        ,          ,        ,       ,  17.39 ,   0.13 ,  19.49 ,        ,        , 0.067 ,       ,
  PGC1930809                  , G       ,   31.08088 ,   18.59506 ,     2931 ,        4 ,     2931 ,        4 ,          ,          ,  18.00 ,   0.50 , I     ,      ,       ,           ,             ,  10.0 ,   1.2 ,     0.40 ,     0.11 ,     0.14 ,     0.03 ,   27.0 ,   49.3 ,     0.45 ,  17.16 ,        ,        ,        ,        ,        , -16.17 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC1946542                  , G       ,   31.42492 ,   16.03662 ,     -171 ,       29 ,     -171 ,       29 ,          ,          ,  19.25 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.41 ,     0.12 ,     0.03 ,     0.03 ,        ,   20.7 ,          ,  19.13 ,  17.25 ,        ,        ,        ,        ,        ,          , 14.054 ,  0.12 ,  17.30 ,   0.07 , 21.623 ,        ,        ,  0.25 ,       ,
  PGC1968984                  , G       ,   31.87652 ,   16.23863 ,      -66 ,        8 ,      -66 ,        8 ,          ,          ,  18.64 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.39 ,     0.11 ,     0.07 ,     0.03 ,   81.6 ,   31.8 ,          ,  18.52 ,  16.58 ,        ,        ,        ,        ,        ,          , 14.118 , 0.057 ,  16.63 ,   0.07 , 20.056 ,        ,        , 0.061 ,       ,
  PGC2158182                  , G       ,   39.94621 ,   16.57564 ,     3053 ,       72 ,     3053 ,       72 ,          ,          ,  17.33 ,   0.50 , Scd   ,      ,       ,           ,             ,   6.6 ,   3.0 ,     0.65 ,     0.08 ,     0.27 ,     0.03 ,    9.1 ,   58.8 ,     0.65 ,  16.77 ,  16.51 ,        ,        ,        ,        , -16.67 ,          ,        ,       ,  16.54 ,   0.11 , 18.146 ,        ,        , 0.036 ,       ,
  PGC2176737                  , G       ,   41.16658 ,    7.51636 ,      891 ,        1 ,      891 ,        1 ,      880 ,        7 ,  16.55 ,   0.36 , I     ,      ,       ,           ,             ,   9.5 ,   1.5 ,     0.66 ,     0.08 ,     0.27 ,     0.03 ,   59.0 ,   67.7 ,     0.67 ,  15.79 ,  15.79 ,        ,        ,        ,        , -14.99 ,          ,        ,       ,  15.90 ,   0.10 ,  17.22 ,        ,        , 0.052 ,       ,
  PGC2185706                  , G       ,   41.71878 ,    7.43263 ,      -99 ,       56 ,      -99 ,       56 ,          ,          ,  18.63 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.42 ,     0.10 ,     0.07 ,     0.03 ,        ,   32.4 ,          ,  18.27 ,  17.43 ,        ,        ,        ,        ,        ,          ,        ,       ,  17.60 ,   0.08 , 19.886 ,        ,        , 0.114 ,       ,
  PGC2201393                  , G       ,   42.56003 ,   16.93322 ,     2549 ,        2 ,     2549 ,        2 ,          ,          ,  16.73 ,   0.50 , SBd   , B    ,       ,           ,             ,   8.0 ,   2.4 ,     0.68 ,     0.07 ,     0.27 ,     0.03 ,   75.0 ,   68.1 ,     0.68 ,  16.14 ,        ,        ,        ,        ,        , -16.96 ,          , 13.528 , 0.162 ,        ,        ,        ,        ,        ,       ,       ,
  PGC2204813                  , G       ,   42.72255 ,   16.84611 ,      944 ,        1 ,      944 ,        1 ,          ,          ,  16.42 ,   0.35 , I     ,      ,       ,           ,             ,  10.0 ,   2.0 ,     0.86 ,     0.06 ,     0.25 ,     0.03 ,  131.0 ,   65.5 ,     0.86 ,  15.87 ,  15.56 ,        ,        ,        ,        , -15.45 ,          ,        ,       ,  15.60 ,   0.06 , 17.057 ,        ,        , 0.013 ,       ,
  PGC2228154                  , G       ,   43.74585 ,    7.49585 ,     3184 ,        3 ,     3184 ,        3 ,          ,          ,  18.30 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.55 ,     0.09 ,     0.45 ,     0.03 ,   40.0 ,   71.8 ,          ,  18.00 ,  17.32 ,        ,        ,        ,        , -15.39 ,          ,        ,       ,  17.44 ,   0.05 , 19.557 ,        ,        , 0.075 ,       ,
  PGC2228832                  , G       ,   43.77530 ,   16.44855 ,      -60 ,        8 ,      -60 ,        8 ,          ,          ,  19.31 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.35 ,     0.13 ,     0.10 ,     0.03 ,  110.3 ,   37.7 ,          ,  19.28 ,  16.96 ,        ,        ,        ,        ,        ,          , 14.563 ,   0.1 ,  16.97 ,   0.07 , 21.229 ,        ,        , 0.147 ,       ,
  PGC2356340                  , G       ,   49.88356 ,   17.31557 ,      899 ,       60 ,      899 ,       60 ,          ,          ,  14.06 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.71 ,     0.07 ,     0.28 ,     0.03 ,   40.0 ,   59.9 ,          ,  13.94 ,        ,        ,        ,        ,        , -17.31 ,          , 14.411 , 0.097 ,        ,        ,  14.35 ,        ,        ,   0.1 ,       ,
  PGC2429873                  , G       ,   53.02551 ,   16.17023 ,      -60 ,       23 ,      -60 ,       23 ,          ,          ,  18.79 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.34 ,     0.12 ,     0.06 ,     0.03 ,        ,   30.0 ,          ,  18.74 ,  16.63 ,        ,        ,        ,        ,        ,          , 13.811 ,  0.08 ,  16.65 ,   0.12 , 20.247 ,        ,        , 0.105 ,       ,
  PGC2518162                  , G       ,   55.89317 ,    7.44860 ,      786 ,       16 ,      786 ,       16 ,          ,          ,  18.39 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.54 ,     0.09 ,     0.15 ,     0.03 ,    2.0 ,   45.9 ,          ,  18.06 ,        ,        ,        ,        ,        , -12.63 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC2597325                  , G       ,   60.04346 ,   15.87813 ,     2932 ,        8 ,     2932 ,       60 ,     2932 ,       12 ,  16.86 ,   0.50 , I     ,      ,       ,           ,             ,  10.0 ,   2.0 ,     0.66 ,     0.08 ,     0.17 ,     0.03 ,   93.0 ,   54.2 ,     0.66 ,  16.48 ,        ,        ,        ,  17.32 ,   0.84 , -16.88 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC2597829                  , G       ,   60.08572 ,   15.58016 ,     2968 ,       60 ,     2968 ,       60 ,          ,          ,  18.34 ,   0.50 , S0    ,      ,       ,           ,             ,  -2.0 ,   2.0 ,     0.41 ,     0.11 ,     0.17 ,     0.03 ,  133.0 ,   56.8 ,     0.41 ,  18.23 ,        ,        ,        ,        ,        , -15.16 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC2598064                  , G       ,   60.10525 ,   11.58521 ,     2322 ,        2 ,     2322 ,        2 ,          ,          ,  16.67 ,   0.29 , I     ,      ,       ,           ,             ,  10.0 ,   2.0 ,     0.71 ,     0.07 ,     0.09 ,     0.03 ,   37.1 ,   40.0 ,     0.71 ,  16.44 ,  15.99 ,        ,        ,        ,        , -16.43 ,          ,        ,       ,  16.02 ,   0.05 , 17.369 ,        ,        , 0.068 ,       ,
  PGC2601563                  , G       ,   60.39354 ,    9.17789 ,     1052 ,        1 ,     1052 ,        1 ,          ,          ,  17.11 ,   0.50 , I     ,      ,       ,           ,             ,  10.0 ,   2.0 ,     0.55 ,     0.10 ,     0.13 ,     0.03 ,   57.7 ,   48.1 ,     0.56 ,  16.68 ,  16.48 ,        ,        ,        ,        , -14.64 ,          ,        ,       ,  16.56 ,   0.05 , 17.794 ,        ,        , 0.022 ,       ,
  PGC2601707                  , G       ,   60.40573 ,    9.46492 ,     1315 ,        5 ,     1317 ,        5 ,     1304 ,       11 ,  17.20 ,   0.50 , IB    , B    ,       ,           ,             ,  10.0 ,   2.0 ,     0.62 ,     0.08 ,     0.20 ,     0.03 ,   13.3 ,   58.7 ,     0.63 ,  16.69 ,  16.40 ,        ,        ,  18.83 ,   2.14 , -15.06 ,          ,        ,       ,  16.46 ,   0.06 , 17.935 ,        ,        , 0.048 ,       ,
  PGC2606552                  , G       ,   60.76576 ,   10.24909 ,     3086 ,        2 ,     3086 ,        2 ,          ,          ,  16.36 ,   0.50 , Sm    ,      ,       ,           ,             ,   8.5 ,   1.5 ,     0.65 ,     0.09 ,     0.18 ,     0.03 ,   34.2 ,   56.0 ,     0.64 ,  15.99 ,  15.58 ,        ,        ,        ,        , -17.42 ,          ,        ,       ,  15.59 ,   0.04 , 17.185 ,        ,        , 0.018 ,       ,
  PGC2622648                  , G       ,   61.68521 ,   10.98633 ,     2063 ,        8 ,     2061 ,        2 ,     2119 ,       11 ,  17.91 ,   0.50 , Scd   ,      ,       ,           ,             ,   7.0 ,   2.0 ,     0.54 ,     0.11 ,     0.34 ,     0.03 ,  146.9 ,   64.3 ,     0.53 ,  17.24 ,  17.16 ,        ,        ,  16.54 ,  -0.71 , -15.38 ,          ,        ,       ,  17.18 ,   0.05 , 18.649 ,        ,        , 0.034 ,       ,
  PGC2633244                  , G       ,   62.24346 ,   13.35868 ,     3010 ,        1 ,     3010 ,        1 ,          ,          ,  16.90 ,   0.50 , Sc    ,      ,       ,           ,             ,   5.8 ,   3.1 ,     0.82 ,     0.07 ,     0.52 ,     0.03 ,   61.2 ,   75.6 ,     0.81 ,  15.90 ,  16.13 ,        ,        ,        ,        , -17.52 ,          ,        ,       ,  16.17 ,   0.04 , 17.706 ,        ,        , 0.028 ,       ,
  PGC2636198                  , G       ,   62.41339 ,   10.85469 ,     1648 ,        1 ,     1648 ,        1 ,          ,          ,  17.36 ,   0.50 , I     ,      ,       ,           ,             ,   9.5 ,   1.5 ,     0.51 ,     0.10 ,     0.08 ,     0.03 ,  159.3 ,   38.4 ,     0.51 ,  17.15 ,  16.55 ,        ,        ,        ,        , -15.06 ,          ,        ,       ,  16.57 ,   0.07 , 17.995 ,        ,        ,  0.09 ,       ,
  PGC2655141                  , G       ,   63.40867 ,   10.70295 ,     1714 ,        7 ,     1714 ,        7 ,          ,          ,  16.77 ,   0.50 , I     ,      ,       ,           ,             ,  10.0 ,   2.0 ,     0.87 ,     0.07 ,     0.47 ,     0.03 ,  135.9 ,   90.0 ,     0.86 ,  15.84 ,  16.17 ,        ,        ,        ,        , -16.41 ,          ,        ,       ,  16.19 ,   0.17 , 17.361 ,        ,        , 0.026 ,       ,
  PGC2655089                  , G       ,   63.40491 ,   12.36730 ,     1679 ,        1 ,     1679 ,        1 ,          ,          ,  17.33 ,   0.50 , I     ,      ,       ,           ,             ,  10.0 ,   2.0 ,     0.56 ,     0.09 ,     0.18 ,     0.04 ,   62.5 ,   55.3 ,     0.56 ,  16.91 ,  16.62 ,        ,        ,        ,        , -15.34 ,          ,        ,       ,  16.66 ,   0.06 , 17.939 ,        ,        , 0.055 ,       ,
  PGC2655453                  , G       ,   63.42629 ,   11.99744 ,     1332 ,        3 ,     1332 ,        2 ,     1353 ,       11 ,  16.96 ,   0.50 , I     ,      ,       ,           ,             ,  10.0 ,   2.0 ,     0.79 ,     0.06 ,     0.33 ,     0.03 ,  176.3 ,   76.5 ,     0.78 ,  16.26 ,  15.97 ,        ,        ,  17.85 ,   1.58 , -15.60 ,          ,        ,       ,  16.01 ,   0.04 , 17.867 ,        ,        , 0.105 ,       ,
  PGC2655758                  , G       ,   63.44323 ,   12.27023 ,     2802 ,        4 ,     2802 ,        4 ,          ,          ,  16.32 ,   0.50 , I     ,      ,       ,           ,             ,  10.0 ,   2.0 ,     0.78 ,     0.07 ,     0.30 ,     0.03 ,   80.2 ,   72.3 ,     0.78 ,  15.65 ,  15.38 ,        ,        ,        ,        , -17.60 ,          ,  13.72 , 0.199 ,  15.43 ,   0.12 ,  16.97 ,        ,        ,  0.23 ,       ,
  PGC2666144                  , G       ,   64.25705 ,   10.52411 ,     1717 ,        3 ,     1717 ,        3 ,          ,          ,  17.69 ,   0.38 , I     ,      ,       ,           ,             ,  10.0 ,   2.0 ,     0.54 ,     0.09 ,     0.20 ,     0.03 ,   77.6 ,   58.4 ,     0.54 ,  17.28 ,  16.80 ,        ,        ,        ,        , -15.02 ,          ,        ,       ,  16.81 ,   0.08 , 18.677 ,        ,        , 0.154 ,       ,
  PGC2667884                  , G       ,   64.41871 ,   12.50127 ,     2606 ,       13 ,     2606 ,       13 ,          ,          ,  18.39 ,   0.50 , E     ,      ,       ,           ,             ,  -5.0 ,   2.0 ,     0.47 ,     0.10 ,     0.20 ,     0.03 ,  144.1 ,   90.0 ,     0.48 ,  18.27 ,  17.21 ,        ,        ,        ,        , -14.82 ,          ,        ,       ,  17.24 ,   0.06 , 19.577 ,        ,        , 0.066 ,       ,
  PGC2672385                  , G       ,   64.86819 ,   10.53914 ,     1729 ,        2 ,     1729 ,        2 ,          ,          ,  18.24 ,   0.50 , E     ,      ,       ,           ,             ,  -5.0 ,   2.0 ,     0.44 ,     0.10 ,     0.14 ,     0.03 ,   39.4 ,   68.9 ,     0.44 ,  18.16 ,  17.32 ,        ,        ,        ,        , -14.14 ,          ,        ,       ,  17.35 ,   0.06 ,  19.15 ,        ,        , 0.085 ,       ,
  PGC2679292                  , G       ,   65.63537 ,   13.21536 ,     1585 ,        3 ,     1585 ,        3 ,          ,          ,  17.44 ,   0.50 , I     ,      ,       ,           ,             ,   9.5 ,   1.5 ,     0.53 ,     0.10 ,     0.14 ,     0.03 ,    9.1 ,   49.9 ,     0.53 ,  17.11 ,  17.12 ,        ,        ,        ,        , -15.05 ,          ,        ,       ,  17.14 ,   0.07 , 17.719 ,        ,        , 0.026 ,       ,
  PGC2682517                  , G       ,   65.98537 ,   12.39073 ,     2498 ,        5 ,     2498 ,        5 ,          ,          ,  17.24 ,   0.50 , IB    , B    ,       ,           ,             ,  10.0 ,   2.0 ,     0.72 ,     0.08 ,     0.22 ,     0.04 ,  134.7 ,   60.9 ,     0.72 ,  16.76 ,  16.62 ,        ,        ,        ,        , -16.28 ,          ,        ,       ,  16.65 ,   0.84 , 17.687 ,        ,        ,  0.37 ,       ,
  PGC2687514                  , G       ,   66.46583 ,   12.77895 ,     1446 ,        2 ,     1446 ,        2 ,          ,          ,  18.38 ,   0.50 , E     ,      ,       ,           ,             ,  -5.0 ,   2.0 ,     0.39 ,     0.11 ,     0.11 ,     0.03 ,  130.0 ,   60.5 ,     0.41 ,  18.24 ,  17.50 ,        ,        ,        ,        , -13.77 ,          ,        ,       ,  17.55 ,   0.08 , 19.112 ,        ,        , 0.086 ,       ,
  PGC2697093                  , G       ,   67.24540 ,   12.02304 ,     2269 ,        2 ,     2269 ,        2 ,          ,          ,  18.09 ,   0.50 , I     ,      ,       ,           ,             ,  10.0 ,   2.0 ,     0.48 ,     0.10 ,     0.09 ,     0.03 ,  144.7 ,   39.9 ,     0.48 ,  17.86 ,  17.26 ,        ,        ,        ,        , -14.98 ,          ,        ,       ,  17.29 ,   0.05 , 18.811 ,        ,        , 0.061 ,       ,
  PGC2712133                  , G       ,   68.11289 ,   12.93778 ,     1879 ,        1 ,     1879 ,        1 ,          ,          ,  16.81 ,   0.50 , Sm    ,      ,       , M         ,             ,   9.0 ,   2.0 ,     0.62 ,     0.09 ,     0.19 ,     0.03 ,   51.8 ,   56.7 ,     0.62 ,  16.36 ,  15.84 ,        ,        ,        ,        , -16.14 ,          ,        ,       ,  15.88 ,   0.10 , 17.885 ,        ,        , 0.018 ,       ,
  PGC2761545                  , G       ,   74.32380 ,    7.35555 ,      966 ,       11 ,          ,          ,      966 ,       11 ,  17.08 ,   0.50 ,       ,      ,       ,           ,             ,       ,       ,     0.86 ,     0.06 ,     0.40 ,     0.03 ,   13.0 ,   68.8 ,          ,  16.96 ,        ,        ,        ,  16.95 ,  -0.01 , -14.29 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC2790841                  , G       ,  -24.52725 ,    6.95798 ,     2241 ,        7 ,          ,          ,     2241 ,        7 ,        ,        ,       ,      ,       ,           ,             ,       ,       ,          ,          ,          ,          ,        ,        ,          ,        ,        ,        ,        ,        ,        ,        ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
  PGC2790946                  , G       ,   43.48025 ,   17.09594 ,     2081 ,        6 ,     2076 ,       25 ,     2082 ,        9 ,  18.32 ,   0.42 , I     ,      ,       ,           ,             ,  10.0 ,   2.0 ,          ,          ,          ,          ,        ,        ,          ,  18.19 ,        ,        ,        ,        ,        , -14.51 ,          ,        ,       ,        ,        ,        ,        ,        ,       ,       ,
