NSA ID,NED,RA,DEC,Vr,CO,HI,Halpha,Pointing,Date Obs,Date Obs2,Alt Point,Date Obs,Filament,Group,Telescope,Dithers,R expt (s),Halpha expt (s),R expt tot,Halpha exp tot,R FWHM (iraf),R FWHM,Ha4 FWHM (iraf),Ha4 FWHM
64390,,,,,0,0,,2,,,,,,,INT-2.5m,,,,,,,,,
64389,,,,,0,0,,2,,,,,,,INT-2.5m,,,,,,,,,
64353,,,,,0,1,,2,,,,,,,INT-2.5m,,,,,,,,,
64280,,,,,1,1,,1,,,,,,,INT-2.5m,,,,,,,,,
159756,,,,,0,1,,75,,,,,,,INT-2.5m,,,,,,,,,
139401,,,,,0,0,,75,,,,,,,INT-2.5m,,,,,,,,,
88013,,,,,0,0,,75,,,,,,,INT-2.5m,,,,,,,,,
88011,,,,,0,0,,75,,,,,,,INT-2.5m,,,,,,,,,
88010,,,,,0,0,,75,,,,,,,INT-2.5m,,,,,,,,,
139368,,,,,0,0,,75,,,,,,,INT-2.5m,,,,,,,,,
91017,,,,,0,0,,75,,,,,,,INT-2.5m,,,,,,,,,
31567,,,,,0,0,,120,,,,,,,INT-2.5m,,,,,,,,,
31560,,,,,1,1,,120,,,,,,,INT-2.5m,,,,,,,,,
144114,,,,,1,1,,120,,,,,,,INT-2.5m,,,,,,,,,
31561,,,,,0,0,,120,,,,,,,INT-2.5m,,,,,,,,,
31562,,,,,0,0,,120,,,,,,,INT-2.5m,,,,,,,,,
144056,,,,,1,1,,120,,,,,,,INT-2.5m,,,,,,,,,
144118,,,,,1,1,,120,,,,,,,INT-2.5m,,,,,,,,,
164223,,,,,1,1,,120,,,,,,,INT-2.5m,,,,,,,,,
135464,,,,,0,0,,13,,,,,,,INT-2.5m,,,,,,,,,
26583,,,,,0,1,,17,,,,,,,INT-2.5m,,,,,,,,,
50379,,,,,1,1,,18,,,,,,,INT-2.5m,,,,,,,,,
85367,,,,,1,1,,38,,,,,,,,,,,,,,,,
85366,,,,,0,0,,38,,,,,,,,,,,,,,,,
136102,,,,,1,1,,39,,,,,,,,,,,,,,,,
85541,,,,,1,1,,40,,,,,,,,,,,,,,,,
