# NED name
# SDSS ID in catalog
# RA
# DEC
# CO : Observed at IRAM/30m =O,  Literature=L not observed=N, Literature but reobserved OL
# Detected (Y=1/N=0 unclear=2)]
# HI (Y=1/N=0)
#
# attention certains (rares) ID_SDSS du fichier nasa ne sont pas exactement les ID_SDSS que donne NED
# HI Jy km/s
# H2 mass/Msun
# Reference for H2
                                             RA          DEC        v       CO?   detect HI?  HIJykm/s H2mass
# Filament 1 & Group 5354
       KUG1130    J113330.15+333027.8   11 33 30.15   33 30 27.80   2574     O     1     N     xxx     xxx
         U6526    J113239.50+351942.1   11 32 39.50   35 19 42.10   1840     O     1     1     3.1     xxx
         N3694    J112854.12+352450.4   11 28 54.12   35 24 50.40   2243     L     0     N     xxx   <7.91
         N3687    J112800.60+293039.8   11 28 00.60   29 30 39.80   2507     O     1     1     9.6     xxx
         N3648    J112231.49+395237.0   11 22 31.49   39 52 37.00   1970     L     0     N     xxx   <7.77
         N3689    J112810.99+253940.0   11 28 10.99   25 39 40.00   2739     O     1     1     5.4     xxx
         U6545    J113344.00+323800.9   11 33 44.00   32 38 00.90   2619     O     1     N     xxx     xxx
         U6610    J113844.09+334820.9   11 38 44.09   33 48 20.90   1851     O     2     1    15.7     xxx
         N3786    J113942.50+315432.9   11 39 42.50   31 54 32.90   2678     O     1     1    12.5     xxx
         N3658    J112358.49+383346.9   11 23 58.49   38 33 46.90   2039     L     0     1     0.5   <7.82
         N3665    J112443.40+384543.9   11 24 43.40   38 45 43.90   2069     L     1     N     xxx    9.91
         N3788    J113944.58+315552.4   11 39 44.65   31 55 52.30   2699     O     1     1    15.9     xxx
         U6791    J103429.81+351524.3   11 49 23.61   26 44 29.70   1852     O     1     1     6.4     xxx

# LeoII-B
       SHOC206b   J082718.06+460203.0   08 27 18.07   46 02 03.10   2154     O     0     N     xxx     xxx
       UGC4659    J085440.54+470617.8   08 54 40.53   47 06 17.60   1756     O     0     1     7.3     xxx
       NGC2853    J092317.33+401200.3   09 23 17.33   40 12 00.20   1765     O     1     N     xxx     xxx
       NGC2799    J091731.23+415937.0   09 17 31.03   41 59 38.70   1673     O     1     1     9.6     xxx
       MRK0408    J094804.68+325257.0   09 48 04.69   32 52 57.00   1524     O     1     1     2.8     xxx
       NGC3118    J100711.54+330138.8   10 07 11.54   33 01 38.60   1342     O     1     1    35.9     xxx
   CGCG124-041    J103542.02+260732.8   10 35 42.04   26 07 33.00   1392     O     1     N     xxx     xxx
       NGC2712    J085930.49+445449.9   08 59 30.47   44 54 50.00   1815     O     1     1    24.3     xxx
       NGC2798    J091722.90+415959.0   09 17 22.79   41 59 59.00   1726    OL     1     1     9.0     xxx
       NGC2844    J092148.00+400904.9   09 21 48.01   40 09 04.50   1486     O     1     1     9.5     xxx
       NGC3003    J094836.00+332516.9   09 48 35.46   33 25 17.30   1478     O     1     1   113.0     xxx
       UGC5287    J095128.09+325634.9   09 51 28.09   32 56 35.00   1400     O     1     1     5.0     xxx
       NGC3254    J102919.89+292931.0   10 29 19.94   29 29 30.60   1355     O     1     1    59.8     xxx
       NGC3021    J095057.19+333315.9   09 50 57.15   33 33 13.10   1541     O     1     1    13.0     xxx
   KUG0848+311    J085132.01+305803.5   08 51 32.06   30 58 03.72   2046     O     1     N     xxx     xxx
        IC2256    J081654.43+241036.5   08 16 54.45   24 10 35.76   2208     O     2     1     5.0     xxx
   CGCG150-056    J090013.30+315954.0   09 00 13.32   31 59 54.24   1892     O     1     N     xxx     xxx
   KUG0830+278    J083342.56+274243.4   08 33 42.55   27 42 43.92   2250     O     1     N     xxx     xxx
      UGC04395    J082547.60+280705.3   08 25 47.59   28 07 04.80   2192     O     0     1     6.2     xxx
   FBQSJ085533    J085533.20+311241.9   08 55 33.19   31 12 41.76   2039     O     1     N     xxx     xxx
      UGC05020    J092601.45+343912.4   09 26 01.48   34 39 12.24   1625     O     1     1     7.6     xxx
       NGC2970    J094331.05+315837.0   09 43 31.05   31 58 37.20   1618     O     2     N     xxx     xxx
       NGC2793    J091647.30+342546.9   09 16 47.28   34 25 47.64   1687     O     1     1     8.0     xxx
        IC2361    J082544.49+275228.4   08 25 44.49   27 52 28.20   2062     O     1     1     1.0     xxx
       NGC3026    J095055.37+283303.9   09 50 55.39   28 33 03.96   1490     O     1     1    11.4     xxx
       NGC2780    J091244.37+345532.0   09 12 44.40   34 55 31.80   1979     O     1     1     1.4     xxx
       NGC2893    J093016.90+293224.0   09 30 16.96   29 32 24.00   1699     O     1     1     5.1     xxx
       NGC2604    J083322.80+293217.0   08 33 23.13   29 32 19.68   2078     O     1     1    12.0     xxx
      UGC04559    J084408.79+300719.0   08 44 07.68   30 07 08.76   2085     O     1     1    19.2     xxx
      UGC04375    J082311.30+223951.9   08 23 11.28   22 39 52.92   2061     O     1     1    16.4     xxx
       NGC2608    J083517.30+282823.9   08 35 17.04   28 28 30.72   2135     O     1     1     6.2     xxx
